text,blanks
"Chronic fatigue is usually a sign of ______.",1
"I bought the remastered version of ______ for the extended cut of ______.",2
"I couldn't sleep last night I was too distracted by ______.",1
"I wasn't a fan of ______ until I experienced it for myself.",1
"I'm suddenly having a massive craving for ______.",1
"Life, liberty, and the pursuit of ______.",1
"On this week's episode we will be having a serious discussion about ______, and how it affects ______.",2
"Side effects may include ______ and ______.",2
"______, because girls just wanna have fun.",1
"______, the other white meat.",1
