text,blanks
"After a long, arduous battle, ______ finally met their end by ______.",2
"After years of searching, the crew of the Thousand Sunny finally found out that the One Piece is actually ______.",1
"Animation studio ______ is perhaps best known for ______.",2
"Behold the name of my Zanpakuto, ______!",1
"By far the best panel at any anime convention is the one for ______.",1
"Cards Against Anime: It's more fun than ______!",1
"Chicks. Dig. ______. Nice.",1
"Coming to Neon Alley: ______, completely UNCUT & UNCENSORED.",1
"Congratulations, ______.",1
"Cooking is so fun! Cooking is so fun! Now it's time to take a break and see what we have done! ______. YAY! IT'S READY!!",1
"Digimon! Digivolve to: ______-mon!",1
"Don't worry, he's okay! He survived thanks to ______.",1
"Dr. Black Jack, please hurry! The patient is suffering from a terminal case of ______!",1
"Dreaming! Don't give it up ______! Dreaming! Don't give it up ______! Dreaming! Don't give it up ______!",3
"Every now and then, I like to participate in the time-honored Japanese tradition of ______.",1
"Fresh from Japan: The new smash hit single by ______ titled ______.",2
"From the creators of Tiger & Bunny: ______ & ______!!",2
"From the twisted mind of Nabeshin: An anime about ______, ______, and ______.",3
"Hayao Miyazaki's latest family film is about a young boy befriending ______.",1
"He might just save the universe, if he only had some ______!",1
"How did I avoid your attack? Simple. By ______.",1
"I am in despair! ______ has left me in despair!",1
"I have never in my life laughed harder than the first time I watched ______.",1
"I know of opinions and all that, but I just don't understand how anyone could actually enjoy ______.",1
"I want to be the very best, like no one ever was! ______ is my real test, ______ is my cause!",2
"I'm sorry! I'm sorry! I didn't mean to accidentally walk in on you while you were ______!",1
"I'M-A FIRIN' MAH ______!",1
"If I was a magical girl, my cute mascot sidekick would be ______.",1
"If you ask me, there need to be more shows about ______.",1
"In the future of 199X, the barrier between our world and the demon world is broken, and thousands of monsters invade our realm to feed upon ______.",1
"In the latest chapter of Golgo 13, he kills his target with ______.",1
"In the latest chapter of Toriko, our hero hunts down, kills, and eats a creature made entirely of ______.",1
"In the latest episode of Case Closed, Conan deduces that it was ______ who killed ______ because of ______.",3
"In the name of the moon, I will punish ______!",1
"In this episode of Master Keaton, Keaton builds ______ out of ______ and ______.",3
"In truth, the EVA units are actually powered by the souls of ______.",1
"Just announced: The brand new anime adaptation of ______, starring ______ as the voice of ______.",3
"Karaoke night! I'm totally gonna sing my favorite song, ______.",1
"Lupin the III's latest caper involves him trying to steal ______.",1
"Make a contract with me, and become ______!",1
"Make a dub cast. ______ as ______, ______ as ______, & ______ as ______.",6
"Make a harem.______, ______, ______, ______, ______,",5
"Make a love triangle.______, ______, ______,",3
"Make a yaoi shipping.______, ______,",2
"Mamoru Oshii's latest film is a slow-paced, two hour-long cerebral piece about the horrors of ______.",1
"Mom, I swear! Despite it's name, ______ is NOT a porno!",1
"My favorite episode of ______ is the one with ______.",2
"My favorite hentai is the one where ______ is held down and violated by ______.",2
"My ______ is the ______ that will pierce the heavens!! *same white card used for both blanks*",2
"New from Studio GAINAX: ______ the Animation.",1
"No matter how many times I see it, ______ always brings a tear to my eye.",1
"No matter how you look at it, ultimately ______ is responsible for ______.",2
"Nothing ruins a good anime faster than ______.",1
"Now! Face my ultimate attack!______,",1
"Of my entire collection, my most prized possession is ______.",1
"Okay, I'll admit it. I would totally go gay for ______.",1
"On the mean streets of Tokyo, everyone knows that ______ is the leader of the ______ Gang.",2
"On the next episode of Dragon Ball Z, Goku has a fierce battle with ______.",1
"On the next episode of Dragon Ball Z, ______ is forced to do the fusion dance with ______.",2
"One thing you almost never see in anime is ______.",1
"People die when they are ______.",1
"Real men watch ______.",1
"S-Shut up!! I-It's not like I'm ______ or anything.",1
"Sasuke has ______ implants.",1
"She'll thaw out if you try ______.",1
"So just who is this Henry Goto fellow, anyway?______,",1
"So wait, ______ was actually ______? Wow, I didn't see that one coming!",2
"So, what have you learned from all of this?______,",1
"Someday when I have kids, I want to share with them the joys of ______.",1
"Take this! My love, my anger, and all of my ______!",1
"The best English dub I've ever heard is the one for ______.",1
"The best part of my ______ costume is ______.",2
"The English dub of ______ sucks worse than ______.",2
"The government of Japan recently passed a law that effectively forbids all forms of ______.",1
"The inspiration behind the latest hit show is ______.",1
"The most annoying kind of anime fans are ______.",1
"The most overused anime cliche is ______.",1
"The new Gurren Lagann blurays from Aniplex will literally cost you ______.",1
"The new manga from ______ is about a highschool girl discovering ______.",2
"The next big Tokusatsu show: ""Super Sentai ______ Ranger!""",1
"The rarest Pok&#195;&#169;mon in my collection is ______.",1
"The show was great, until ______ showed up.",1
"The World Line was changed when I sent a D-mail to myself about ______.",1
"There are guilty pleasures. And then there's ______.",1
"This doujinshi I just bought has ______ and ______ getting it on, hardcore.",2
"This is our final battle. Mark my words, I will defeat you, ______!",1
"This morning, hundreds of Japanese otaku lined up outside their favorite store to buy the limited collector's edition of ______.",1
"This year, I totally lucked out and found ______ in the dealer's room.",1
"This year, I'm totally gonna cosplay as ______.",1
"THIS ______ HAS BEEN PASSED DOWN THE ARMSTRONG FAMILY LINE FOR GENERATIONS!!!",1
"This ______ of mine glows with an awesome power! Its ______ tells me to defeat you!",2
"To save the world, you must collect all 7 ______.",1
"Truly and without question, ______ is the manliest of all men.",1
"Using my power of Geass, I command you to do... THIS!______,",1
"Vegeta, what does the scouter say?______,",1
"WANTED: $50,000,000,000 reward for the apprehension of______.",1
"Watch it! Or I'll take your ______.",1
"Welcome home, Master! Is there anything your servant girl can bring you today?______,",1
"What do I hate most about anime?______,",1
"What do I love most about anime?______,",1
"What is mo&#195;&#169;?______,",1
"When Henry Goto is alone and thinks that no one's looking, he secretly enjoys ______.",1
"When I found all 7 Dragon Balls, Shenron granted me my wish for ______.",1
"When it comes to hentai, nothing gets me hotter than ______.",1
"When it comes to Japanese cuisine, there's simply nothing better than ______.",1
"Whenever I'm splashed with cold water, I turn into ______.",1
"While writing Dragon Ball, Akira Toriyama would occasionally take a break from working to enjoy ______.",1
"Who are you callin' ______ so short he can't see over his own ______?!?!",2
"Who placed first in the most recent Shonen Jump popularity poll?______,",1
"Who the hell do you think I am?!______,",1
"Yo-Ho-Ho! He took a bite of ______.",1
"Yoko Kanno's latest musical score features a song sung entirely by ______.",1
"You are already ______.",1
"You guys are so wrong. Obviously, ______ is best waifu.",1
"You see, I'm simply ______.",1
"You used ______. It's super effective!",1
"______ vs. ______. BEST. FIGHT. EVER.",2
"______. BELIEVE IT!",1
"______. Goddammit, Japan.",1
"______. HE DEDD.",1
"______. Only on Toonami",1
"______. So kawaii!! <3 <3",1
"______. That is the kind of man I was.",1
"______. YOU SHOULD BE WATCHING.",1
