text,blanks
"Between love and madness lies ______.",1
"David Icke's newest conspiracy theory states that ______ caused ______.",2
"Everybody loves ______.",1
"I can only express myself through ______.",1
"I did ______ so you don't have to!",1
"I got fired because of my not-so-secret obsession over ______.",1
"I need your clothes, your bike, and ______.",1
"In a new Cold War retro movie, the red menace tries to conquer the world through the cunning use of ______.",1
"In college, our lecturer made us write a report comparing ______ to ______.",2
"In The Hangover part 3, those four guys have to deal with ______, ______, and ______.",3
"Instead of beating them, Chris Brown now does ______ to women.",1
"Instead of chess, the Grim Reaper now gambles for your soul with a game of ______.",1
"Instead of cutting, trendy young emo girls now engage in ______.",1
"My father gave his life fighting to protect ______ from ______.",2
"My new favourite sexual position is ______",1
"My new porn DVD was completely ruined by the inclusion of ______",1
"My three wishes will be for ______, ______, and ______.",3
"My zombie survival kit includes food, water, and ______.",1
"The definition of rock bottom is gambling away ______.",1
"The latest horrifying school shooting was inspired by ______.",1
"The Mayan prophecies really heralded the coming of ______ in 2012.",1
"The next US election will be fought on the key issues of ______ against ______.",2
"The way to a man's heart is through ______.",1
"What was the theme of my second wedding?",1
"What's the newest Japanese craze to head West?",1
"When I was 10 I wrote to Santa wishing for ______.",1
"Where or How I met my last signifigant other: ______.",1
"Why is my throat sore?",1
"______ sparked a city-wide riot that only ended with ______.",2
"______. This is my fetish.",1
