text,blanks
"Dustin Browder demands more ______ in StarCraft&#194;&reg;.",1
"I never thought ______ would be so enjoyable.",1
"I whip my ______ back and forth.",1
"I wouldn't fuck ______ with ______'s dick.",2
"I've got the whole world in my ______.",1
"In his next movie, Will Smith saves the world from ______.",1
"In his second term, Obama will rid America of ______.",1
"In the future, ______ will fuel our cars.",1
"In the next episode, SpongeBob gets introduced to ______.",1
"In the next Punch Out!!, ______ will be the secret final boss.",1
"Instead of playing Cards Against Humanity, you could be ______.",1
"Justin Beiber's new song is all about ______.",1
"Keith Richards enjoys ______ on his food.",1
"Lady Gaga has revealed her new dress will be made of ______.",1
"My life for ______!",1
"n a news conference, Obama pulled out ______, to everyone's surprise.",1
"Nights filled with ______.",1
"One does not simply walk into ______.",1
"Plan a three course meal. ______, ______, ______",3
"Praise ______!",1
"Tastes like ______.",1
"The lion, the witch, and ______.",1
"The new fad diet is all about making people do ______ and eat ______.",2
"The next Assassin's Creed game will take place in ______.",1
"The next pokemon will combine ______ and ______.",2
"The victim was found with ______.",1
"Welcome to my secret lair on ______.",1
"What can you always find in between the couch cushions? ______",1
"What is Curious George so curious about? ______",1
"What is Japan's national pastime? ______",1
"What is literally worse than Hitler? ______",1
"What is love without ______?",1
"What is the answer to life's question? ______",1
"What is the next big sideshow attraction? ______",1
"What is the next great Kickstarter project? ______",1
"What was going through Osama Bin Laden's head before he died? ______",1
"What will Xyzzy take over the world with? ______",1
"When North Korea gets ______, it will be the end of the world.",1
"When short on money, you can always ______.",1
"Who is GLaDOS's next test subject? ______",1
"Who let the dogs out? ______",1
"Who needs college when you have ______.",1
"______ 2012.",1
"______ and ______ are the new hot couple.",2
"______ Game of the Year Edition.",1
"______ ruined many people's childhood.",1
