text,blanks
"A controversial short shown on 'Mickey Mouse Club' featured ______.",1
"All I gotta do is ______!",1
"At least out loud/ I won't say, ""______"".",1
"Be our guest/Be our guest/Put ______ to the test.",1
"Beast: I let her go.",1
"better throw my hand in",1
"But she won't discover that it\'s ______ 'til chapter three.",1
"Ch-ch-ch-Chip & Dale, ______",1
"Cogsworth: What? But why?",1
"Disney princesses are so useless because of ______.",1
"Down where it\'s wetter, down where it\'s ______",1
"Everyday they're out there making ______. A woo-ooo!",1
"Genie, for my final wish, I wish for ______.",1
"How can you read this? There\'s no pictures!",1
"I'd blame parents, except, he hasn't got'em.",1
"If he can't do it, ______ can!",1
"if only they'd ______,",1
"If the enchantress turned me into an item of home d&eacute;cor, I would just end up ______.",1
"In the tiki tiki tiki tiki tiki room, where the ______ ______ and the flowers bloom!",2
"Jafar! Jafar! He\'s our man!/",1
"Le Fou' actually means '______' in French.",1
"One day in the Hundred Acre Woods, Winnie the Pooh was awakened by ______.",1
"Proud and Defiant, we'll slay the giant. Let us seize ______.",1
"Riff-Raff, Street-Rat. I don't buy that,",1
"So, 'Prince Ali' turns out to be merely ______.",1
"Some all powerful Genie. Can't even bring ______ back from the dead.",1
"Tale as old as ______.",1
"Tell me, princess, now, when did you last let ______ decide?",1
"The Beast coped with his curse by spending time with ______.",1
"This perfect ______ packed a pair of pretty ______.",2
"To Infinity and ______!",1
"True, that he\'s no prince charming, but there\'s ______ in him that I simply didn't see",1
"Try the grey stuff, it\'s ______!",1
"Welcome to Agrabah, city of mystery, of enchantment., and ______!",1
"What did Prince Ali actually bring to win over the Sultan?",1
"What the genie did for those 10,000 years.",1
"What\'s a ______ and why does it, what\'s the word? &ndash;Buuuuurn?",1
"Where does it say, 'you gotta live and die here.'? Where does it say, 'a guy can't catch a break'?",1
"Who are you? Tell me the truth.",1
"Who is that ______ I see staring straight back at me?",1
"Who put the 'glad' in gladiator?",1
"Wish me happy landin'",1
"would they see ______? No siree.",1
"Yo ho, yo ho, ______ for me!",1
"You ain't never had a______, like me.",1
"______ is a wish your heart makes.",1
"______ never bothered me anyway.",1
"______ would be greater than all the magic and all the treasures in all the world.",1
"______.' If you say it loud enough, you'll always sound precocious",1
