text,blanks
"Avatar: The Last ______ bender.",1
"For the convention I cosplayed as Sailor Moon, except with ______.",1
"Haruko hit Naoto in the head with her bass guitar and ______ came out.",1
"I downloaded a doujin where ______ got into ______.",2
"In the dubbed version they changed ______ into ______.",2
"In the Evangelion remake, Shinji has to deal with ______.",1
"In the name of ______ Sailor Moon will punish you!",1
"My boyfriend's a ______ now.",1
"No harem anime is complete without ______.",1
"Somehow they made a cute mascot girl out of ______.",1
"The Japanese government has spent billions of yen researching ______.",1
"The magical girl found out that the Power of Love is useless against ______.",1
"The new thing in Akihabara is fetish cafes where you can see girls dressed up as ______.",1
"The worst part of Grave of the Fireflies is all the ______.",1
"The ______ of Haruhi Suzumiya.",1
"The ______ of ______ has left me in despair!",2
"While powering up Vegeta screamed, ______!",1
"Worst anime convention purchase ever? ______.",1
"You evaded my ______ attack. Most impressive.",1
"Your drill can pierce ______!",1
