text,blanks
"Before Hands of Blue, ______ was sent to apprehend the Tams.",1
"During her appointments, Inara thinks about ______.",1
"Firefly should have ended with ______.",1
"Firefly, Season 2: ______.",1
"I am ______ ; watch how I soar.",1
"In the latest mail pick-up, Mal receives ______ with ______.",2
"Inara's next client will be ______.",1
"Jayne betrays the crew for a boat-load of ______.",1
"Next, on Firefly: ______.",1
"Oh, my God. What can it be? We're all doomed!",1
"Our shiny crew's next job will be ______.",1
"Serenity will never be the same after ______ was added.",1
"Simon's next attempt to cure River will be with ______.",1
"The next Hero of Canton: ______.",1
"The Reavers are bored with raping and murdering. What will they turn to next?",1
"What new product is Blue Sun coming out with this year?",1
"What new torture techniques was Niska developing?",1
"What will be taught next year at The Academy?",1
"What will be the Alliance's next secret weapon?",1
"What will Kaylee have to jury-rig Serenity with next?",1
"What will Serenity's next cargo be?",1
"What's the shinyest?",1
"Who will attempt to seduce Mal next?",1
"Why will Mal be shot next?",1
"______ was caught in the engine room, with ______.",2
