text,blanks
"A marriage based on ______.",1
"Finding out your spouse's fetish involves ______ and ______.",2
"Her family insisted we have ______ at the wedding. To keep up the tradition.",1
"I can only enjoy ______ after my spouse is asleep.",1
"I have no time for ______ after getting married.",1
"I put up with ______ to keep the wife happy.",1
"I put ______ on my food just so my wife wont steel any.",1
"If you loved them, you would put up with their ______.",1
"Someone went off list and got us ______ for our wedding.",1
"Their 50th wedding anniversary was ruined by ______",1
"Thinking you will still get to enjoy ______ after getting married.",1
"Thursday night is ______ night in our house.",1
"We got in another fight about ______ again.",1
"______ can ruin a marriage.",1
