text,blanks
"* somasonic ______ ______",2
"After ______ let the ficus loose, he began ______.",2
"After ______, madeline was banned from being an operator.",1
"Alyx fucked ______.",1
"Alyx's latest morally bankrupt act. ______",1
"Alyx's newest sex toy consists of ______ grafted onto ______.",2
"AppleDash's boatnet is now targetting ______.",1
"appledash's obsession with ______ is so vile, we wound up ______.",2
"autumn's inability to understand jokes stems from an accident involving ______.",1
"awilfox decided to take up ______ as a hobby.",1
"awilfox is now shagging ______.",1
"A______meteor's sad ""relationship"" with Maria.",1
A______meteor.,1
"Beneath madeline's ______ exterior, lies a much more ______ interior.",2
"Cherri was just irritating, but when she tried to ______ with ______, it was a step too far.",2
"Don't discuss the politics of ______ with Spellcheck.",1
"Don't ______ the flags!",1
"Everyone thought [[sroracle]]'s new feature for stan, ______, was the dumbest feature since ______.",2
"fishbot will ______.",1
"GreaseMonkey's ______ was so sophisticated nobody could figure out how it worked.",1
"HELLO, I AM ______.",1
"I DON'T NEED NO ______, NO! I DON'T NEED NO ______, NO THANKS! I DON'T WANT NO ______, THAT'S RIGHT! YOU CAN KEEP YOUR ______! YEAH!",4
"i fucking hate ______. i bet he cnt evil lift many miligram of cocain with penis",1
"I had a sneaking suspicion ______ was bi when they ______...",2
"I JUST SHIT ______ IN HERE AND IT SMELLS REAL ______",2
"I once crashed ______ with ______.",2
"I'm a ______ junkie!",1
"I'd love to put my ______ in fishbot's mouth.",1
"I'd rather ______ than live in Florida.",1
"I'd rather ______ than live in ______.",2
"In Sporks, you don't get even, you get ______.",1
"Interlinked has been categorised as everything from ______ to ______ and even ______!",3
"Interlinked is pleased to announce a new server in ______, with ______ as admin.",2
"Interlinked rules are: ______, ______, and ______.",3
"Interlinked's newest service. ______",1
"Interlinked's newest spin-off service is ______ provided by ______.",2
"It was only a matter of time before madeline finally discovered the secret ______.",1
"Jade tried to ______ #sporks with ______.",2
"Jade's pathetic attempts at ______ were thwarted by her constant ______.",2
"Joah is ______.",1
"Joree just killed ______.",1
"Joree went too far with the murders after zie ______ to the poor ______.",2
"Lord Vorpal's obnoxious ______ in Minecraft.",1
"lstarnes' horrifying addiction to ______.",1
"madeline was addicted to ______ the entire month of February.",1
"madeline ______ed ______.",2
"madeline's future sex offender registry entry. ______",1
"Madeline's new best friend is ______.",1
"Many people claim lstarnes is a ______, but in reality he's a ______.",2
"Matthew kept promising ______, but failed to deliver due to ______.",2
"Mismagius' latest dramatic overreaction involved... ______",1
"Missingno broke her last chair by ______.",1
"Missingno decided to give up coding to pursue her dream of ______.",1
"Missingno is now majoring in ______ and minoring in ______.",2
"Missingno quit technology again after seeing ______.",1
"Missingno tried to name ______ as a successor to the head of opers, but ______ became the de facto one instead.",2
"Missingno's latest fursona is a ______ and ______ hybrid.",2
"Missingno's newest fursona is a ______.",1
"MY ______ IS FULL POWER!",1
"Niichan got a little ridiculous after he added a ______ as a personality.",1
"nimrod's most stupid was trying to ______.",1
"Not even rwg had any power against the enormous ______ of doom.",1
"null was banned from touching cisco gear after they caught him putting his ______ in the chassis.",1
"null's newest gay perversion is ______.",1
"Oh come on, there's no need to tell Rylee her ______ habit is disgusting!",1
"Okay, who let ______ combine with Joree's vagina?",1
"Only rwg could destroy the ______-singularity.",1
"PlauSocks' newest construction-morph. ______",1
"Please refrain from ______ the ficus.",1
"Quora's sixth personality is ______.",1
"RaptorCat's newest hat ability consists of ______.",1
"rwg once ______ an entire ______ with his bare hands.",2
"rwg's pack immunity didn't extend to ______, curiously.",1
"Rylee's response to ______ was, 'how Lyude'.",1
"SilentPenguin decided to can socky after ______ tried to shove it ______.",2
"smofe ______ errday",1
"Somasonic dropped acid and thought he saw Missingno ______.",1
"somasonic is pleased to announce ______, his latest RServ plugin.",1
"somasonic is trading a server in ______ for ______.",2
"somasonic would be more stable if it weren't for ______.",1
"Spellcheck's radical views were fostered in the streets of ______.",1
"Sporks was kicked off of freenode because ______.",1
"The identity of the shitter. ______",1
"The Ishimura was decomissioned temporarily due to ______.",1
"The latest excuse for rwg's absence. ______",1
"The most sick, twisted fetish of Missingno. ______",1
"The newest thing in #sporks to get a sex change. ______",1
"The ______ is too damn high.",1
"This black card is postmodern. ______",1
"Utensil ______ front.",1
"We all thought awilfox's ______ was useless, until he proved its worth by ______.",2
"We built ______ in Minecraft.",1
"We moved from ______ to ______ because of ______.",3
"We thought Vorpal couldn't get more obnoxious after ______, but then he ______.",2
"What did I just find in lstarnes' closet? ______",1
"What does it take to make lstarnes display emotion? ______",1
"What is aji suddenly interested in? ______",1
"When Missingno destroyed freenode using ______.",1
"When ______ demolished EFnet.",1
"When ______ kicked us off Staticbox, we looked for a new home on ______.",2
"When ______ smofed all the shmibs we were stuck smofing ______.",2
"When ______ tried to contribute to aji's project, he promptly ______.",2
"Who the fuck puts a ______ in the Sporks garden!",1
"Who the fuck thought letting PlauSocks near the ______ was a good idea!?",1
"Who the fuck thought ______ was a good thing to put near the ficus?",1
"Who the hell invited ______? Seriously, don't invite ______ without asking ______!",3
"Whoever tried to ______ the ficus, please note the next offense will be punished by ______.",2
"Why did Alyx try to code ______?",1
"______ by Numbers with Joree.",1
"______ didn't know they liked ______ until they were surprised with it.",2
"______ fucked the meth elf.",1
"______ got kicked for ______ once too often.",2
"______ is about the only thing Interlinked won't tolerate.",1
"______ is secretly in love with ______.",2
"______ is the newest Interlinked user to come out as furry?!",1
"______ the shmibs.",1
"______ tried to fuck Lyude until they discovered ______.",2
"______ turned the police on when the ______ rapist came to Sporks.",2
"______ was nominated Interlinked ______ of the Year for best ______.",3
"______ was the only action of Missingno's anyone questioned.",1
"______ will be k:lined on sight.",1
"______! WHY DID YOU EAT ALL THE SPORKS SUPPLY OF ______?",2
"______'s decaying body turned out to be the source of that awful smell.",1
"______'s obnoxious death-______ was only discovered by ______.",3
"______? I KNEW THEY WERE GAY!",1
"______? I've seen bigger, blacker ______ than that! (pick one)",2
"______? Missingno's probably fucked it.",1
