text,blanks
"And here we have ______. Strike it's weakness for MASSIVE damage!",1
"Bro's Angels. We ______ hard.",1
"But Beardman! Why do you think that ______?",1
"Come on and slam, and welcome to the ______.",1
"GaLmHD is so pro at almost every game he plays yet he can`t play______!",1
"GTA shenanigans would not be GTA shenanigans without Seananners dropping ______ on ______.",2
"I AM THE ______ CZAR!!!",1
"I give this game a rating of ______.",1
"I'm sorry Timmy, but I must ______ you.",1
"In his new Co-op work SSoHPKC will be playing ______ with ______.",2
"In the next episode of Press Heart to Continue: Dodger talks about ______.",1
"In this week's gauntlet, ChilledChaos challenges Tehsmarty to ______.",1
"In this week's gauntlet, Tehsmarty challenges ChilledChaos to ______.",1
"In today's Driftor in-depth episode we shall look at ______.",1
"In ______ We Trust.",1
"It took hours to edit ______ into the video.",1
"Knowing Chilled's knowledge with Minecraft, he'll probably use ______ on ______ in his next video.",2
"Last Thursday, Riorach was identified in public and she proceeded to ______.",1
"My name is-a ______ and i likea da ______.",2
"Oh great, ______ is doing another ______ game LP.",2
"On this episode of PKA Woody and Wings talk about ______.",1
"One of these days i'm just gonna shit my ______.",1
"Only Totalbiscuit would spend an hour long video discussing ______.",1
"Pewdiepie's going to play ______!?",1
"Smarty's darkest fear is ______.",1
"Tehsmarty loves the smell of ______ in the morning.",1
"The comment section was nothing but ______ arguing about ______.",2
"The Creatures' next member is ______.",1
"The Xbox One's DRM policy isn't half as bad as ______.",1
"This time on Brutalmoose's Top 10, his guest was ______.",1
"TotalBiscuit's top hat is actually ______.",1
"Two Best Friends Play ______.",1
"What did Criken do this time to break ARMA III? ______,",1
"What did Mitch or Bajan Canadian find in the fridge today?______,",1
"What did Pewdiepie overreact to on his channel today?______,",1
"What was the big prize this time around at the Thrown Controllers panel?______,",1
"What will YouTube add in its next unneeded update?______, ______,",2
"What's a paladin?______,",1
"When Sp00n finally removed his horsemask on the livestream, we saw ______.",1
"You need to ______ your asshole, it's vital to this operation.",1
"ZeRoyalViking's up and coming game company, ""ZEA"" accredits their success to ______.",1
"______, the one you want to get DDoS'd",1
