text,blanks
"Anonymous' next target: ______.",1
"Coming soon to DVD: ______ Gone Wild!",1
"Dear Diary, ______ has really got me emotional today.",1
"I had to change my password from ______ to ______ after getting hacked.",2
"I heard a rumor that Taylor Swift will finally start singing about ______!",1
"I would like to solve the puzzle! ______",1
"If you thought regular Monopoly was great, Monopoly: ______ Edition will totally change how you play the game!",1
"It's terrible that Zayn left One Direction. On the bright side, he has claimed to put more focus on ______!",1
"Lights. Camera. ______.",1
"Next on the feminist movement agenda: ______",1
"Remember Planet of the Apes? It's getting a sequel called Planet of ______.",1
"Remember son, ______ is her way of saying ""I love you.""",1
"You can't have a housewarming party without ______!",1
"______ while driving should be a crime.",1
"______, ______, and ______ are all on my Christmas list this year.",3
