text,blanks
"Above all, you should never do ______ while on Cactus Juice.",1
"I AM ZHAO! I AM CONQUEROR! I AM ______!",1
"Initially, ______ was planned to play Sokka's role in the series.",1
"Looking for an exciting night in Ba Sing Se? Try ______ on for size!",1
"Momo was initially invisioned as ______.",1
"Side effects of Cactus Juice may include a strange but insatiable craving for ______.",1
"Sparky Sparky ______ Man was a minor villain who pursued the Gaang throughout the third season.",1
"The Avatar's secret intense weakness to ______ would have been his outdoing, if not for ______. (Choose 2)",2
"The biggest artistic challenge in the entire series was having to render______ over and over.",1
"The Earth King has invited you to ______.",1
"The most terrifying thing about hanging with the Gaang is ______.",1
"This is what Zuko was really looking for on his adventures with Iroh.",1
"Toph's real first sexual experience was accidentally with ______.",1
"Unfortunately, ______ had to be cut in the final version of the script.",1
"You'd figure that ______ would have the strangest sexual turn-ons, but in reality, ______ was much weirder.",2
"Zuko's lesser known herpes scar is apparently shaped vaguely like ______.",1
"______ is credited with being the first to ever take on and defeat all of the Kyoshi Warriors sexually at once.",1
"______ is now the new spokesperson for the Fire Nation's tourism industry.",1
"______. It'll quench yah! Nothing's quencher. It's the quenchiest!!!",1
