text,blanks
"""I hate this idea that you're the best. Because you're not. ______ is the best in the world.""",1
"""I'm The Miz, and I'm ______!""",1
"""Welcome to '______ is Jericho'!""",1
"#______ is now trending worldwide on Twitter, King!",1
"And if you're not down with that, we've got two words for ya! ______!",1
"Chris Jericho's newest catchphrase is ""______"".",1
"From ______, weighing 220 lbs, ______!",2
"I didn't screw Bret, ______ screwed Bret!",1
"If ______ is the Shawn Michaels, then ______ is the Marty Jannetty.",2
"John Cena, while you're lying there, hopefully ______, I want you to listen to me...",1
"Look in my eyes, what do you see?",1
"LOOK OUT MAGGLE, IT'S A FLYING ______! I LOVE IT!",1
"May I have your attention, please. I have just received ______ from the Anonymous Raw General Manager",1
"Mike, you ______, what is ______ doing in the Impact Zone?",2
"MY CLIENT, ______, CONQUERED THE UNDERTAKER'S STREAK AT WRESTLEMANIA!",1
"My name is ______, but 'chu already knew that!",1
"On the next Total Divas, Brie gets in a fight with ______ about ______.",2
"Quote the Raven, ______.",1
"Randy Orton will go to ______ if he has to.",1
"Someone in NXT has debuted with a ______ gimmick.",1
"The newest indie star: Mike ""______"" Michaels.",1
"The second most prestigious titles in the indies is the ______ Championship.",1
"This is vintage ______!",1
"VINTAGE ______!",1
"Wasteland, Bullhammer, ______ - why can't Barrett settle on a finisher?",1
"WCW jumped the shark when they booked ______ live on Nitro.",1
"WCW jumped the shark when Vince Russo booked a ______-on-a-pole match.",1
"We ______ on Friday Nights!",1
"What has Vince McMahon only just discovered?",1
"What is Damian Sandow's latest gimmick?",1
"What is Dolph Ziggler here to show the world?",1
"What is TNA now doing in the hope of gaining viewers?",1
"What is Wade Barrett's bad news for Vince McMahon?",1
"Who is the tag team champion?",1
"Why did Shawn Michaels lose his smile?",1
"______ = RATINGS",1
"______ ain't enough, man, I need five!",1
"______ from Del Rio as ______ rolls on!",2
"______ has Nuclear Heat with management and is in the doghouse.",1
"______ is a Paul Heyman Guy.",1
"______ is the face of the WWE",1
"______ outta nowhere!",1
"______. Only 9.99!",1
"______. Then. Now. Forever.",1
"______.... We're here!",1
______winslol,1
