text,blanks
"After Rudolph got fired because of ______, Santa's #1 reindeer is ______.",2
"And so they say, his ______ grew three sizes that day.",1
"Before the introduction of Christianity, Christmas was a pagan holiday celebrating ______.",1
"Christmas is a time where we celebrate ______.",1
"Christmas just hasn't been the same after ______.",1
"Due to budget cuts, Santa has been replaced by ______.",1
"During the 1914 Christmas Truce, soldiers of both sides came together to enjoy ______.",1
"Harrassed by Russian jets, Santa used ______ to defend himself.",1
"Having run out of ______, Santa had to give children ______ instead.",2
"I hate being the youngest child, my sisters always get ______ and all I get is ______.",2
"I saw mommy kissing ______ underneath the mistletoe.",1
"I wished for ______, but all I got was ______.",2
"If I hear another Christmas song about ______...",1
"If it hadn't been for ______, I would have been on Santas list of nice kids this year!",1
"Instead of Happy Holidays and Merry Christmas, our workplace forces us to say ______ and ______.",2
"It got really awkward at Christmas this year because my parents got me ______.",1
"Jesus' birth was marked by the bright Star of ______.",1
"Little Timmy realized the Santa at the mall wasn't real because of ______.",1
"My family always has this strange tradition of putting ______ on the Christmas tree.",1
"My mom got me ______ and I got her ______. Awkward.",2
"On the third day of Christmas, my true love gave to me: ______.",1
"PBS happily presents! A ______ christmas special!",1
"Rudolph the ______-nosed reindeer.",1
"Santa brings ______ to nice children and ______ to naughty ones.",2
"Some kids use ______ and ______ instead of cookies and milk to reward Santa with.",2
"The Three Wise Men came bearing gifts of ______, ______, and ______.",3
"This year on Chirstmas Day, little Timmy at the orphanage was given ______.",1
"This year's hit Christmas song is about ______.",1
"This year, I was on Santa's ______ list.",1
"This year, I was surprised to find out that the true meaning of Christmas is ______.",1
"This year, instead of coal, Santa will be giving naughty children ______.",1
"This year, instead of Jesus and Mary in the Nativity scene, we put ______ and ______.",2
"To beat the neighbors' Christmas display this year, my family put up ______.",1
"Tonight, you will be visited by the Ghosts of ______.",1
"Walmart gave its employees the Christmas present of ______.",1
"We wanted to give the orphanage kids a memorable Christmas, but in retrospect, ______ as Santa wasn't the best call.",1
"We wish you a merry ______ and a happy ______!",2
"We wish you a ______ Christmas!",1
"What I really want Santa to bring me for Christmas is ______.",1
"When I grew up, I found out that Santa was actually .",1
"With the reindeer on strike, this year Santa's sleigh is fueled by ______.",1
"You better watch out, you better not cry, you better not pout, I'm telling you why: ______ is coming to town.",1
"______ came close to ruining Christmas, but with ______ we still had a good time.",2
"______ did not appreciate my present of ______.",2
"______ is my favorite Christmas tradition.",1
"______ is the hottest Christmas album this year!",1
"______ Night, ______ Night. All is ______, All is ______.",4
"______ put me on the naughty list, but I redeemed myself with ______.",2
"______ was the finishing touch on the gingerbread house.",1
"______ was the hardest present to wrap.",1
"______ was the perfect present for ______.",2
