text,blanks
"Due to the vastly different cultural landscape of the time, it was considered normal for early black & white cartoons to feature at least one ______.",1
"I was fired for slipping a single frame of ______ into the Lion King.",1
"If we learned one thing from Disney movies, it's if you put your heart into ______, ______ will be yours.",2
"Legend has it, only the one true ______ can pull the sword from the stone",1
"Mickey was last seen doing ______ before he went to prison.",1
"My earliest memory is experiencing ______ on the Magic Kingdom Ride",1
"The little known 1940s animated fairytale ""______ flopped, probably due to all the ______.",2
"The next Disney movie is ______",1
"To become one of the Lost Boys in Never Never Land, you had to pass the initiation of ______ while ______ watches.",2
"Unknown to most, the first sketches of Mickey & Minnie Mouse actually more resembled ______ & ______",2
"Who really framed Roger Rabbit?",1
"Why is Anastasia not a Disney princess?",1
"Why is Donald Duck not wearing any pants?",1
