text,blanks
"2015's number one rated honeymoon activity is ______",1
"A common mistake for newly weds is confusing ______ for ______",2
"A perfect marriage is not based on ______, but ______",2
"A surprise addition to the vows; ""I promise to finally discuss______""",1
"After the wedding, we can get straight to ______",1
"Bachelor party challenge: A little ______, a lot of ______, and absolutely no ______",3
"did you hear about her last 3 boyfriends? they all left because she wanted ______",1
"Gotta be honest, I only came to this wedding in the hopes of ______",1
"Happily ever after? It's more like ______",1
"haven't told you guys this, but the real reason we're getting married is ______",1
"hello marriage. goodbye ______",1
"how do I know she's the one? simple: ______",1
"I object to this marriage because ______",1
"I'm glad he's settling down, but let's all agree to still meet up every month for ______ and ______",2
"I'd like to give a toast to the lovely couple; To health, happiness and ______",1
"In sickness and in health, 'till ______ do us part.",1
"It makes sense to marry her, I mean who else am I gonna find that's as into ______ as I am?",1
"love and marriage, love and marriage, goes together like ______ & ______",2
"Our favorite wedding gift was a set of his and hers ______",1
"The guests' favourite part of the ceremony is always ______",1
"The oldest living married couple ever said that their secret was ______",1
"The only advice my parents gave me about marriage was ""give up the ______, remember the ______""",2
"The real reason I've gathered all you men here tonight is ______",1
"The secret to a happy marriage is plenty of ______",1
"the wedding was going well, up until the ______",1
"this is lame, the hen's party has ______",1
"We decided to all chip in and get the groom ______ because he deserves it.",1
"We want the same things in life; ______ while we are young, and ______ when we are old.",2
"Whatever you do, never mention ______ to my wife.",1
"Why are they REALLY getting married?",1
"Why won't it last?",1
"Women marry for ______, men marry for ______",2
"You don't marry someone you can have ______ with, you marry someone you cannot have ______ without.",2
"you're never quite prepared for the ______ of marriage.",1
