text,blanks
"After ______ destroyed the last Minecraft server, we started anew and built a giant ______.",2
"aji wants to rub ______.",1
"a______meteor destroyed ______ when he last crashed through the ceiling.",2
"A______meteor's crash landings.",1
"DO YOU WANT ______, Sporks? BECAUSE THAT'S HOW YOU GET ______.",2
"HOW MANY ERECTIONS DOES AJI HAVE? ______",1
"Madeline's latest nonsense action she does to people. ______",1
"Rylee's new shampoo smells like ______.",1
"Sporks's new rules are: ______; ______; ______; ______; and ______.",5
"The ficus and shmibs are in a conspiracy to destroy ______ by ______.",2
"The name of aji and GreaseMonkey's newest collaborative chiptune. ______",1
"The reason Rylee's shit doesn't stink is ______.",1
"The Sporks bot revolt began when the bots thought ______ was an inch too far.",1
"The true identity of The Shitter was revealed to be ______.",1
"Things aji dances to whilst nude. ______",1
"This ______ was made by rwg industries? No wonder it's so ______!",2
"Today's hot topic in Sporks. ______",1
"Vorpal's new Minecraft creation automates ______ construction.",1
"What's MidnightCommando's latest boner fuel? ______",1
"When Vorpal's ______ machine in Minecraft ran amok, the admins had to ______ to stop it.",2
"When ______ was caught masturbating with ______, the punishment was ______.",3
"Whoever ate all the ______, I'm going to ______ them so hard, they'll be shitting ______ for a month!",3
"______ is hereby banned from the Interlinked lab after they ______.",2
"______'s genitals on ______'s face.",2
"______? Blimey, I didn't know you could have sex with that!",1
"______? Yeah, I fucked them with ______, then I sodomised them with ______, and finally I put ______ in their urethra.",4
