text,blanks
"""Greetings, dear listeners. Won't you join ______ for ______?""",2
"90's Kid's favorite comic is ______.",1
"A piece of ______ is missing.",1
"A ______ Credit Card!?",1
"After getting snowed in at MAGfest, the reviewers were stuck with ______.",1
"After ______, Phelous regenerated into ______.",2
"ALL OF ______.",1
"An intervention was staged for Linkara after ______ was discovered in his hat.",1
"Arlo P. Arlo's newest weapon combines ______ and ______!",2
"As a way of apologizing for a poorly received episode, E Rod promised to review ______.",1
"At ConBravo, ______ will be hosting a panel on ______.",2
"At his next con appearance, Linkara will cosplay as ______.",1
"At least he didn't fuck ______.",1
"At MAGFest, ______ will host a panel focusing on ______.",2
"Because poor literacy is ______.",1
"Being done with My Little Pony, 8-Bit Mickey has moved onto ______.",1
"Being fed up with reviewing lamps, what obscure topic did Linkara review next? ______",1
"Birdemic 3: ______",1
"Blip checks are way smaller in January so I'll spend the month riffing on ______ to gain more views.",1
"Brad Tries ______.",1
"Doug still regrets the day he decided to do a Let's Play video for ""Bart Simpson's ______ Adventure"".",1
"E Rod has a new dance move called ______.",1
"Enemies of Diamanda Hagan have been known to receive strange packages filled with ______.",1
"Even Kyle thinks ______ is pretentious.",1
"Florida's new crazy is about ______.",1
"For a late night snack, Nash made a sandwich of ______ and ______.",2
"For the next Anniversary event, the TGWTG producers must battle ______ to get ______.",2
"Good evening! I am ______ of ______.",2
"He is a glitch. He is missing. He is ______.",1
"Hello, and welcome to Atop ______, where ______ burns.",2
"Hello, I'm a ______.",1
"Hello, I'm the Nostalgia Critic. I remember ______ so you don't have to!",1
"Here There Be ______.",1
"Hey kids, I'm Nash, and I couldn't make ______ up if I tried.",1
"Hey Nash, whatcha playin'? ______",1
"High and away on a wing and a prayer, who could it be? Believe it or not, it's just ______.",1
"How is Bennett going to creep out Ask That Guy this time? ______",1
"I AM THE VOICELESS. THE NEVER SHOULD. I AM ______.",1
"I asked Linkara to retweet ______, but instead, he retweeted ______.",2
"I love ______. It's so bad.",1
"I prefer for MY exploitation films to have ______, thank you very much.",1
"I watch movies just to see if I can find a Big Lipped ______ Moment.",1
"I write slash fanfiction pairing ______ with ______.",2
"I ______ so you don't have to.",1
"I'm going to die watching ______ review ______.",2
"I'm looking forward to Jesuotaku's playthrough of Fire Emblem: ______.",1
"If a dog and a dolphin can get along, why not ______ and ______?",2
"If I wanted to see ______, I'll stick with ______, thank you very much.",2
"If you are able to deflect ______ with ______, we refer to it as ""Frying ______"".",3
"If you value your life, never mention ______ around Oancitizen.",1
"If ______ got to direct an Uncanny Valley short, it would have featured ______.",2
"In a new latest announcement video, ______ has announced an appearance at ______.",2
"In a surprise twist, the villain of Linkara's next story arc turned out to be ______.",1
"In her newest review, Diamanda Hagan finds herself in the body of ______.",1
"In his latest review, Phelous was killed by ______.",1
"In his most recent Avatar vlog, Doug's favorite thing about the episode was ______.",1
"In my new show, I review ______ while dressed like ______.",2
"In the newest Cheap Damage, CR looks at the trading card game version of ______.",1
"In trying to ban ______, Florida accidentally banned ______.",2
"It was all going well until they found ______.",1
"It's not nudity if there's ______.",1
"IT'S NOT ______!",1
"JW confirms, you can play ______,",1
"Kyle's next student film will focus on ______.",1
"Last time I took bath salts, I ended up ______ in ______.",2
"Leon Thomas almost named his show Renegade ______.",1
"Linkara now prefers to say ______ in lieu of ""fuck"".",1
"Linkara was shocked when he found out Insano was secretly ______.",1
"Linkara's next story arc will involve him defeating ______ with the power of ______.",2
"Linkara's Yu-Gi-Oh deck is built up with nothing but ______.",1
"Luke Mochrie proved he was still part of the site by______.",1
"Luke's newest character is ______, the Inner ______.",2
"Make a WTFIWWY story. ______, ______, ______",3
"MikeJ's next sexual conquest is ______.",1
"Nash had a long day at work, so tonight he'll stream ______.",1
"Nash rejected yet another RDA request for ______.",1
"Nash will build his next contraption with just ______, ______, and ______.",3
"Nash's newest made-up curse word is ______-______-______!",3
"Nash's recent rant about Microsoft led to ______.",1
"Nash's Reviewer Spotlight featured ______.",1
"New rule in the RDA Drinking Game: Every time ______ happens, take a shot!",1
"Next January, the Nostalgia Critic is doing ______ Month.",1
"Next time on Obscurus Lupa Presents: "" ______ IV: The Return of ______"".",2
"No one wants to see your ______.",1
"Of Course! Don't you know anything about ______?",1
"OH MY GOD THIS IS THE GREATEST ______ I'VE EVER SEEN IN MY LIFE!",1
"On the next WTFIWWY, Nash will give us a brief history of ______.",1
"On the other side of the Plot Hole, the Nostalgia Critic found ______.",1
"Putting ______ in ______? That doesn't go there!",2
"Reactions were mixed when ______ joined TGWTG.",1
"Rock and Roll is nothing but ______ and the rage of ______!",2
"Sad Panda is actually ______ and ______.",2
