text,blanks
""" ______.""What the hell, man?!"" ______.""Oh, okay.""",2
"""Greetings, dear listeners. Won't you join ______ for ______?""",2
"""Hey everybody and welcome to Let's Look At ______!""",1
"""HEY, GOLLEN PALACE? HOW U SAY ______ IN CHINESE?""",1
"""These new ______ t-shirts are gonna change some lives, Arin.""",1
"""What are you thinking?"" ""You know, ______ and stuff.""",1
"""Why Grandma"", said Little Red Riding Hood, ""What big ______ you have!""",1
"""You want cheese pizza?"" ""No. ______.""",1
"> ______ > ______ >2011>ISHYGDDT",2
">implying you aren't ______",1
">tfw when ______.",1
">walk into gamestop>see ______ >walk out",1
"...What the bloody hell are you two talking about?!",1
"90's Kid's favorite comic is ______.",1
"A fortune teller told me I will live a life filled with ______.",1
"A mod of doom was made that was based off of ______.",1
"A mod war about ______ occurred during ______.",2
"A piece of ______ is missing.",1
"A wild ______ appeared! It used ______!",2
"A ______ Credit Card!?",1
"Actually coming inside ______.",1
"After a long, arduous battle, ______ finally met their end by ______.",2
"After a wild night of crusading, Applebloom learned that ______ was her super special talent.",1
"After a wild night of partying, Fluttershy awakens to find ______ in her bed.",1
"After being a furry for so long, I can never see ______ without getting a little aroused.",1
"After Blue posted ______ in chat, I never trusted his links again.",1
"After eating a Devil Fruit, I now have the power of ______.",1
"After getting snowed in at MAGfest, the reviewers were stuck with ______.",1
"After getting wasted at PAX, Burnie announced that ""I am ______!""",1
"After I saw ______, I needed ______.",2
"After living for thousands of years Celestia can only find pleasure in ______.",1
"After Mars, ______ is the next furthest planet from the sun.",1
"After winning yet another race, Josh made ______ tweet about ______.",2
"After years of searching, the crew of the Thousand Sunny finally found out that the One Piece is actually ______.",1
"After ______, Phelous regenerated into ______.",2
"Ah! Your rival! What was his name again?",1
"Alcoholic games of Clue&reg; lead to ______.",1
"All attempts at ______, have met with failure and crippling economic sanctions.",1
"ALL OF ______.",1
"All you had to do was follow the damn ______, CJ!",1
"All you had to do was ______ the damn ______!",2
"All your ______ are belong to us",1
"Aloe and Lotus have been experimenting with a radical treatment that utilizes the therapeutic properties of ______.",1
"An intervention was staged for Linkara after ______ was discovered in his hat.",1
"And from Kyoto Animation, a show about cute girls doing ______.",1
"And here we have ______. Strike it's weakness for MASSIVE damage!",1
"And it is said his ghost still wanders these halls, forever searching for his lost ______.",1
"And now we're going to be fighting ______ on ______.",2
"And on his farm he had ______, E-I-E-I-O!",1
"And that's how Equestria was made!",1
"And the award for the filthiest scene in an adult film goes to ""5 women and ______.""",1
"And then, as a fuckin' goof, I'd put a hole in ______.",1
"And there it was...Kirby had finally met the ______ of the lost city.",1
"Animation studio ______ is perhaps best known for ______.",2
"Anime has taught me that classic literature can always be improved by adding ______.",1
"appealing to a larger audience",1
"Arin believes that the most important part of any video game is ______.",1
"Arin has an adverse reaction to ______.",1
"Arlo P. Arlo's newest weapon combines ______ and ______!",2
"As a way of apologizing for a poorly received episode, E Rod promised to review ______.",1
"As always, I will ______ you next time!",1
"As part of a recent promotion, Japanese KFCs are now dressing their Colonel Sanders statues up as ______.",1
"At camp, we'd scare each other by telling stories about ______ around the fire.",1
"At ConBravo, ______ will be hosting a panel on ______.",2
"At first I couldn't understand ______, but now it's my biggest kink.",1
"At his next con appearance, Linkara will cosplay as ______.",1
"At least he didn't fuck ______.",1
"At MAGFest, ______ will host a panel focusing on ______.",2
"At the last PAX, Paul and Storm had ______ thrown at them during ""Opening Band"".",1
"Attention, duelists: My hair is ______.",1
"Barbara sucks ______.",1
"Barry entertains himself by watching old episodes of ______.",1
"BARRY! SHOW ______ AGAIN!",1
"Barry's sheer skill at ______ is unmatched.",1
"Barry, add ______ into the video!",1
"Barry, we need a replay on ______.",1
"Based ______.",1
"Because of the lastest school shooting, ______ is being blamed for making kids too violent.",1
"Because poor literacy is ______.",1
"begin First Expansion",1
"Behold the name of my Zanpakuto, ______!",1
"Behold! My trap card, ______!",1
"Being done with My Little Pony, 8-Bit Mickey has moved onto ______.",1
"Being fed up with reviewing lamps, what obscure topic did Linkara review next?",1
"BENCH ALL THE ______.",1
"Best drink ever: One part ______, three parts ______, and a splash of ______.",3
"Best game of 2013? ______, of course.",1
"Big Mac sleeps soundly whenever ______ is with him.",1
"Birdemic 3: ______",1
"Blip checks are way smaller in January so I'll spend the month riffing on ______ to gain more views.",1
"Brad Tries ______.",1
"brb guys, ______ break",1
"Bro's Angels. We ______ hard.",1
"But Beardman! Why do you think that ______?",1
"But that ______ has sailed.",1
"But you can call me ______ the ______. Has a nice ring to it dontcha think?",2
"BUY SOME ______!",1
"By far the best panel at any anime convention is the one for ______.",1
"By far, the most mind-bogglingly awesome thing I've ever seen in anime is ______.",1
"Cards Against Anime: It's more fun than ______!",1
"Check your privilege, you ______ ______.",2
"Chicks. Dig. ______. Nice.",1
"Choosy Moms Choose ______.",1
"Cindi suddenly turned into Steven after ______.",1
"Clean ALL the ______.",1
"Close up of my ______.",1
"Come on and slam, and welcome to the ______.",1
"COME ON AND ______, AND WELCOME TO THE ______!",2
"Come to Fort ______!",1
"Coming to Neon Alley: ______, completely UNCUT & UNCENSORED.",1
"Congratulations, ______.",1
"Connie the Condor often doesn't talk on skype because of ______.",1
"Cooking is so fun! Cooking is so fun! Now it's time to take a break and see what we have done! ______. YAY! IT'S READY!!",1
"Cunnilungus and psychiatry brought us to ______.",1
"CUTIE MARK CRUSADERS; ______! YAY!",1
"Dang it, ______!",1
"Daring Do and the quest for ______.",1
"Dear Princess Celestia, Today I learned about ______.",1
"Describe yourself in one word/phrase.",1
"Despite everypony's expectations, Sweetie Belle's cutie mark ended up being ______.",1
"Despite our Administration's best efforts, we are still incapable of ______.",1
"Detective ______ is down!",1
"Did you hear about the guy that smuggled ______ into the hotel?",1
"Digimon! Digivolve to: ______ -mon!",1
"Disney presents ______, on ice!",1
"Do you remember the episode where Ash caught a ______?",1
"Does our house say ""We love ______?""",1
"Dogimo would give up ______ to type a six sentence paragraph in a thread.",1
"Domo travelled across ______ to win the prize of ______.",2
"Don't get mad, get ______.",1
"Don't knock ______ until you've tried it.",1
"Don't slow down in East Cleveland or ______.",1
"Don't stand behind him, if you value your ______.",1
"Don't throw ______! It's expensive to somebody!",1
"Don't worry, he's okay! He survived thanks to ______.",1
"Doug still regrets the day he decided to do a Let's Play video for ""Bart Simpson's ______ Adventure"".",1
"Dr. Black Jack, please hurry! The patient is suffering from a terminal case of ______!",1
"Dreaming! Don't give it up ______! Dreaming! Don't give it up ______! Dreaming! Don't give it up ______!",3
"Drunken games of Pretend You're Xyzzy lead to ______ and ______.",2
"Dude, I got sixteen ______!",1
